Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
5/16/2014,3345925,16,5,6,20,3
5/17/2014,3534053,17,5,7,20,3
5/18/2014,3580601,18,5,1,21,4
5/19/2014,2923369,19,5,2,21,4
5/20/2014,3163047,20,5,3,21,4
5/21/2014,3232926,21,5,4,21,4
5/22/2014,3489867,22,5,5,21,4
5/23/2014,3716585,23,5,6,21,4
5/24/2014,3865793,24,5,7,21,4
5/25/2014,3351451,25,5,1,22,5
5/26/2014,3291694,26,5,2,22,5
5/27/2014,2967874,27,5,3,22,5
5/28/2014,3099747,28,5,4,22,5
5/29/2014,3550948,29,5,5,22,5
5/30/2014,3741471,30,5,6,22,5
5/31/2014,4009525,31,5,7,22,5
6/1/2014,3482959,1,6,1,23,1
6/2/2014,2996363,2,6,2,23,1
6/3/2014,3381768,3,6,3,23,1
6/4/2014,3420979,4,6,4,23,1
6/5/2014,3311336,5,6,5,23,1
6/6/2014,3900074,6,6,6,23,1
6/7/2014,3814536,7,6,7,23,1
6/8/2014,4135374,8,6,1,24,2
6/9/2014,3498688,9,6,2,24,2
6/10/2014,3415599,10,6,3,24,2
6/11/2014,3423401,11,6,4,24,2
6/12/2014,3576394,12,6,5,24,2
6/13/2014,3919366,13,6,6,24,2
6/14/2014,3621996,14,6,7,24,2
6/15/2014,3431852,15,6,1,25,3
6/16/2014,3086576,16,6,2,25,3
6/17/2014,3304500,17,6,3,25,3
6/18/2014,3352457,18,6,4,25,3
6/19/2014,3750266,19,6,5,25,3
6/20/2014,3861791,20,6,6,25,3
6/21/2014,3810338,21,6,7,25,3
6/22/2014,4045715,22,6,1,26,4
6/23/2014,3366900,23,6,2,26,4
6/24/2014,3392164,24,6,3,26,4
6/25/2014,3622947,25,6,4,26,4
6/26/2014,3616588,26,6,5,26,4
6/27/2014,4044335,27,6,6,26,4
6/28/2014,4004680,28,6,7,26,4
6/29/2014,3806974,29,6,1,27,5
6/30/2014,2888060,30,6,2,27,5
7/1/2014,2824645,1,7,3,27,1
7/2/2014,3449160,2,7,4,27,1
7/3/2014,3445693,3,7,5,27,1
7/4/2014,3902081,4,7,6,27,1
7/5/2014,3831837,5,7,7,27,1
7/6/2014,3867664,6,7,1,28,2
7/7/2014,3051451,7,7,2,28,2
7/8/2014,3623173,8,7,3,28,2
7/9/2014,3313775,9,7,4,28,2
7/10/2014,3811853,10,7,5,28,2
7/11/2014,4383310,11,7,6,28,2
7/12/2014,3891868,12,7,7,28,2
